month,year,latitude,longitude,price,room_type
2,2024,40.42215032,-3.68124068,182.0,Standard Double or Twin Room
2,2024,40.4475492,-3.62816378,123.0,Twin Room
2,2024,40.45579703,-3.68197963,141.0,Standard Single Room
2,2024,40.42666182,-3.67183954,105.0,Triple Room
2,2024,40.4206944,-3.70739244,183.0,Standard Double Room
2,2024,40.42864743,-3.69440898,150.0,Superior Double Room
2,2024,40.419517,-3.69788,19.0,Bed in 10-Bed Mixed Dormitory Room
2,2024,40.42053513,-3.70387316,193.0,The INNSIDE Room
2,2024,40.42089452,-3.70663851,36.0,Single Room
2,2024,40.41112159,-3.70678928,29.0,Bed in 6-Bed Mixed Dormitory Room
2,2024,40.42557659,-3.71371821,99.0,Standard King Room
2,2024,40.43859914,-3.69287744,92.0,Single Room
2,2024,40.44925049,-3.57680619,81.0,Double Room (1 Adult)
2,2024,40.40146032,-3.68706107,94.0,Double or Twin Room
2,2024,40.42369331,-3.71080033,179.0,Deluxe Twin
2,2024,40.41261177,-3.69404688,161.0,Individual Room
2,2024,40.40987718,-3.69371295,157.0,Standard Room
2,2024,40.4515416,-3.59286189,114.0,Double or Twin Room
2,2024,40.45824608,-3.58274058,88.0,Double or Twin Room (1-2 Adults)
2,2024,40.417879,-3.70818,28.0,Bed in 8-Bed Female Dormitory Room (female only)
2,2024,40.41184389,-3.69792804,110.0,Single Room
2,2024,40.45860935,-3.58240396,81.0,Double Room (1 Adult)
2,2024,40.4130645,-3.66922554,95.0,Standard Queen Room - Accessible
2,2024,40.447457,-3.54927,80.0,Standard Queen Room
2,2024,40.41335555,-3.70105094,110.0,Standard Double Room
2,2024,40.421459,-3.707392,103.0,Single Room
2,2024,40.42038,-3.697279,59.0,Budget Single Room
2,2024,40.42327637,-3.69885591,17.0,Bed in 6-Bed Female Dormitory Room with Private Bathroom
2,2024,40.4210194,-3.70042,96.0,Deluxe Double or Twin Room
2,2024,40.41748598,-3.70867432,76.0,Deluxe Single Room
2,2024,40.42285682,-3.68997395,95.0,Double or Twin Room
2,2024,40.45099256,-3.59465897,86.0,Standard Double or Twin Room
2,2024,40.421315,-3.716578,21.0, Bed in 12-Bed Mixed Dormitory Room 
2,2024,40.45099256,-3.59465897,86.0,Standard Double or Twin Room
2,2024,40.4235125,-3.7005919,88.0,Single Room
2,2024,40.40616008,-3.72182518,110.0,Standard Double or Twin Room
2,2024,40.40778583,-3.68938923,105.0,Basic Single Room
2,2024,40.46658238,-3.59016761,61.0,Single Room
2,2024,40.43051355,-3.66425693,110.0,Double Room
2,2024,40.40714642,-3.69308468,30.0,Single Bed in 6-Bed Dormitory Room
2,2024,40.415834,-3.698834,19.0,Single Bed in 8-Bed Female Dormitory Room with Private Bathroom
2,2024,40.42048918,-3.70542347,9.999,Quadruple Room
2,2024,40.42148464,-3.72164011,85.0,Small Double Room
2,2024,40.442781,-3.697252,61.0,Single Room
2,2024,40.40689331,-3.6831142,81.0,Single Room
2,2024,40.45579703,-3.68197963,104.0,Standard Single Room
2,2024,40.40909293,-3.69301558,97.0,Economy Small Single Room
2,2024,40.42059639,-3.70093077,57.0,Interior Double or Twin Room with Shared Bathroom
2,2024,40.42270062,-3.71005699,85.0,Single Room with View
2,2024,40.4258467,-3.7072969,71.0,Single Room with Shared Bathroom
2,2024,40.43837356,-3.69514793,153.0,Superior Double or Twin Room
2,2024,40.422548,-3.710968,99.0,Single Room with Double Bed
2,2024,40.4151788,-3.70925367,41.0,Single Room with Shared Bathroom
2,2024,40.41530745,-3.69904719,66.0,Single Room
2,2024,40.43109237,-3.68746743,94.0,Single Room
2,2024,40.41868098,-3.70398045,110.0,Budget Single Room
2,2024,40.447369,-3.54967,62.0,Queen Room
2,2024,40.44279925,-3.64813954,91.0,Standard Double Room (1 Adult)
2,2024,40.40845368,-3.69281173,76.0,Single Room
2,2024,40.43671385,-3.67907748,132.0,Standard Single Room
2,2024,40.4491117,-3.55867714,120.0,Premium King Room
2,2024,40.42699769,-3.6874634,139.0,Single Room
2,2024,40.42752447,-3.68504539,179.0,Standard Single Room
2,2024,40.41915269,-3.70947227,90.0,Single Room
2,2024,40.3631207,-3.7621126,40.0,Double Room
2,2024,40.4190527,-3.700938,108.0,Budget Single Room
2,2024,40.41906,-3.70164,66.0,Deluxe Double or Twin Room
